speaker,text,label
9," Next item on the agenda is some  It's the case we're here to hear. It's case APCNV, 2016-565-ZC-BL. The address of the property is 8730 North Edawanda Avenue. I believe that's in Northridge. It's the Constituc District 12. Can we have a departmental report, please?",
1," Hello, everyone. My name is Lucerito Martinez. I'm the project planner assigned to the case. The project consists of the demolition of an existing single family home and the subsequent construction of a three-story eight-unit apartment building with a semi-subterranean garage. It will provide a total of 15 parking spaces. The requested entitlements include a zone change from R1-1 to R3-1 to construct the 8-unit apartment building and also include say 15-foot building line removal created by ordinance 1-29661. The recommendation is to approve the categorical exemption class 32, the zone change from R1-1 to TQR3-1.  and the building line removal. And I'm here to answer any questions.",1
9, That's the report. Do we have any questions from the Commission for the Department on the report?,
4, No questions.,
9, Okay.  Hearing none and there's no other speakers on this on the item of the chair will entertain a motion from a commissioner on this item. Commissioner.  As general comments.,
4, you,
9, Thank you.  channel comments.,
5," you  Sorry.  I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I",
0, you,
4, I'm sending this one.,
0, you,
9," It's a general comment request.  we've already had public it it i'm sorry i just saw something on here that he wrote  Um  Bye.  What is your, what is your, what is your",
5, If there's a comment card...  When did you father what comment card for this agenda item?,
9, i don't have i don't have any cards for against the side  This is a general comment. We've already had public comment.  and,
4, comment on item six.,
7, Yeah.,
4, Are we?,
7," Yeah, this is where NACA before.  Yeah, this is when I see a before you can make a motion you have to  Here the general comments or comments from the applicant or the appellant having",
9, I'm just happy.  He's in lock and purport the most. Guy another minute.,
3, Good.,
9, By the way  you,
8, yes i'd like to know what is the name of the puppet well bully bull bully bull but the ball everybody goes by must,
9, But I'm going to be back.  down by,
8, by their name.,
9, Thank you.,
8," Mr. Puppet. Well, no, but he's known as Mr. Puppet. Okay. Please go ahead. You got one minute.",
9, you,
6," So on my comment card, they put down general comments about item six. So on the corner on the top left, is that right?",
8, Web.,
6," There's an item number that's listed.  You look at that for the item and that will tell you the item number.  So again!  We have a rookie here. Rookie. And that's how we do it.  The Brown Act will be satisfied. One minute, that's her blessing.  two minutes is justice. So if you do one minute, you want to be a herb wasn't.  Any of you want to be a herbison?  Any of you want to have two mortgages that you can't pay raise your hands. And his lovely wife just took a job with the AQMD and spoke against public comment while she's working as the outreach coordinator, bitch. He is.",
9," Thank you.  Hold on a minute, we may have another comment card coming in.  Is that for Speaker Card?",
