speaker,text,label
8," Item number 6. Item number 6 is case number Z82017210CU1A. Project site is 5815-5825 west sunset boulevard. The project is in Council District 13. Appeal of the zoning administrators' determination to approve a conditional use permit to allow a transient occupancy residential structure in an appeal of the categorical exemption. At this time, we will hear from staff and also would like to state that this is a continuance from the state of the state.  are August 8th, 2017.  hearing where we had our public testimony at that time.",
2," Good evening, Commission President and Commissioner. This is Jack John, this is on Administrator who I oversee this case.  items submitted to you or are conditions submitted by the applicant and revised condition number 11, 12, 13 and 15. It should be part of the packet. So the applicant, the property owner has a men 3 conditions in regards to its business model.  and also a young sign manager. I have revised Conditioning 11, 12.  13 and 15 just for more clarity.  Okay.",
0," I'm sorry. Just for the record, I believe Commissioner Delgado needed to make a statement because he wasn't here on the September of August 8 meeting.",
7," Commissioner Dogado, I've reviewed the audio files and the minutes for the last meeting of August 8th and I'm caught up to speed.",
2," Okay, thank you, Commissioner.  So these are the items I request by the commission last time to amend, okay additional item that I submitted to you is  Similar type of cases that will approve because that was a question asked by the commissioner and also I believe that Helen also have a similar that same same question so I Ask our ZAs in the department if they have done any Trans-Analcuban Z-Rest-Entre-Structure projects in the past few years Only Maya Zazefsky replying and she has done one that she approved back in 2013. The project was it's a locating of Venice planning area and it's a conversion.  from the residential apartment into the tours, the transient occupancy, residential structure. It's not exactly the same as the project before you because the project before you maintains both apartment and the tours use, but this one is a complete  conversion. Okay.  I also mentioned that there is a project located on Wojšer, right, right around the MacArthur Park area. I call the applicant and that project never penciled out so it did not become an application. However, what I want to present to you is a joint memo issued by a joint department memo issued by the Planning Department and also  Building safety on February 27th, 2014. Now, this memo basically stays that general plan visioned this route and new  Regional center and district will be the most densely developed.  in Los Angeles and characterised by lively mixed residential commercial and detainment retail and visitors serving uses to help realise this vision. The exception, okay, this memo is to relax the citywide regulation government permitted uses of land and yard requirement for the buildings. Now this memo is stipulated at a hotel, a apartment hotel in CRC1C.5C2C4 and C5 zones. Basically covers all the commercial area. In the central city community plan area or area designated by the community plan as regional center or regional commercial. Okay.  to be exempted with conditional use. Okay, so even a hotel, a part of a hotel is located within 500 feet of an arson. So if you have a project that's located,  Ian  This is a red hatch area. That's a regional center commercial. So this covers the entire downtown. And areas are a long washer boulevard from downtown all the way to Korea town, Western Avenue.  and also  majority area of Hollywood, okay, community, the hatch area.  Project like this, okay, but conforming.  to the criteria if it's a new construction or adapt to reuse, okay, or conversion existing buildings to allow  Um  that has a historical significance, you don't need the conditional use. So my point is that there could be a lot of this project that all they need is just go to building and safety, who a building permit without coming to planning department for a conditional use. Okay. So this project that before you, I don't think qualifies for this.  this memo, but I want to illustrate the fact that there must be a lot of a tourist project.  in the cities of system, that's not before us. And in order to find out, that has to be a search through building premise system.  Okay.  So.  that's all I want to say in regards to the possible distype of cases that occurs in the city. Now for the Mitchell-Politan law,  My feeling is that this is a unique area. It's a unique use. In other area, I will not consider a proof of it, but this project basically serves a creative office use. That's why it's very different. Okay, and I think it's important to maintain the apartment use on site as well. Because this is not a typical hotel use. Now you're got to hear, I think you probably see a couple letters from the Hollywood Chambers and the other one from the NABU Council.  Thank you and for your late neighborhood council.  Thank you.  They talk about the hotel use.  To me, I think this is a very different from the hotel use because this allows, this course, especially for this project, allows longer stay. This is not geared towards a visitor for a couple of days.  These people may stay on site for two weeks, three weeks, maybe two months. Okay?  I think the use is very important to cover both on the 30 days and over 30 days. Because if you do not allow the apartment use, then the tenants outside, when it crossed the 30 days, then basically,  city city does not enforce any sort of a tendency of inside a hotel over 30 days, but city does  enforce the housing actions and housing regulation on apartments that's if it's for short-term rentals. So if it tenants,  stay if you don't maintain a hotel. I mean the apartment use in the tenant stays over 30 days then Nobody's overseeing nobody's overseeing the tenant rights as an apartment do all are okay But I think it's also very important to to approve this project because there is an absolute it absolute need in this area to to provide Sort of a and transient occupancy residence structure for  in  a sort of a longer, longer-term short-term stays. Okay? This is not a hotel use. Okay? So, even though people are trying to sell you that, the area needs a hotel or there may be other hotel projects coming in, but this is not exactly a hotel use. Okay? So, I think that basically concludes my comments for this project.",1
8," Commissioner Chunkham, so I need one clarification regarding  I guess other cases similar to this. So just to be clear, there are no precedents in place for mixed use in the sense of transient and long term.  Correct.",
2, I have.,
8, Thank you.,
2, That's right. I did not find other ones.,
5, I didn't know.,
8, now.,
2, Okay.,
5," And that.  Sorry, this is strange, but that's only the ones that require conditional use. I think what  Jack.  I was pointing out was that...  If you're in the regional center area, you can go to building and safety and add tours.",
8, Thank you.,
5," to your building, your certificate of occupancy, so you could have both.",
8, you.,
5, tours and just regular dwelling units. It's just that we would have to go through a search of building permits.,
0, mm-hmm.,
5, and to be able to identify how many of those exist throughout the city.,
8," Mr. Chunkan, because...  I'm going to have to ask you to walk through the modified or your  your proposed modifications to the conditions. However, prior to that, I know that two of the commissioners that were at the last hearing regarding this case, who aren't here, I know that some of the biggest concerns during that meeting was pertaining to how to obtain that number of dedication for permanent  or more long-term use versus the transient occupants. And we were having trouble coming up with that type of number.",
2, you  Thank you.  you  I have to refer to the applicant because I think right now they are still maintaining the 52 units as both apartment units and transient occupancy risk and structure units. We can call the applicant up and have them have him to explain that.,
8," Okay, prior to that, can you walk us through this a little bit? I'm not sure if you guys have further questions.",
2, Thank you.  you,
7," Okay.  I do commission to the Ghatau.  I think in addition to how to divvy up the percentage of those units and how to, and their designation, it was also how to distribute them throughout the floors. And I think there was a question versus whether top floor metaphor, metaphor. I do have some questions or some updates that I'd like to get. And I don't know who would have that information. And I read an information regarding, and it came up several times regarding two, four specific, very low income units and whether or not those are regarding four specific very low income units and whether or not those are in fact designated as low income units.",
0, Correct.  We're not full.  some of the things that I'm going to do.,
2," Okay, those four...  This project, Metropolitan Law, it's part of the larger project to the west of the metropolitan creative campus. That created campus, it encompassed the metropolitan tower and the metropolitan creative office. To the west, there's a metropolitan west apartment, I think it's 76 apartment units. That four units that you were talking about, four of our units, that's in that apartment. It's not within the metropolitan law building. Okay.",
7," Great. Sorry, the next question. Yes. Is there an update on the one tenant that was at this unit that was nearing the lease? Nearing the 12 month lease?",
2," Yes.  I think that the tendency will end in September, but we can ask the applicant to clarify. Okay. Now, going back to Commissioner President Chunking's question, I think now",
0, you,
7, Great.,
0, you,
2," The property owner has a submit.  the first three condition, I think the first condition, illustrate their plans for the business model. So they are going to move the existing tenant to the upper floor. So have the lower floor open up for the short-term rentals. So that's the existing plans. But as far as how many units were permanently assigned to apartments and how many units were permanently assigned to the tours, I don't think that we have that information available. So I still maintain that the applicant, it's the property owner still want to do all 52 units as an apartment, both apartments and tours use. How are they going to rent those, the units rent out as the short term I think it's still based on the market demand.  Okay.",
8," Commissioner Trump came and so forward the  conditions 11.  12, 13, 15. Can you just walk us through? I know there were questions regarding the language specifically and so if you can walk us through those changes.",
2," Okay. No. Condition 11. I believe Commissioner Chimorinsky was saying that there has to be some sort of  So, I just added that the applicant  shall not display or be evictive without just cause. So that if the tenant breach the lease agreement as to become nuisance or become the, becomes, or endangered properties or not pay rent, then they can be evicted. But that's why I just add the phrase without just cause as to breach lease agreement. So the lease agreement itself will have terms. So I'm just keeping the language sort of a flexible. Now condition number two, there was a question in regards to the 30 days and 60 days. Now which type of tenants should be served with 30 days or which type of tenants should be served with 60 days. Then I checked the California Department's consumer affairs. It has regulation in regards to the noticing. Now if you  It doesn't, the notice was served to tenet. It, that doesn't matter what type of lease agreement you have. Whether it's months to months or it's a yearly lease, it does not matter. But what matter is how long have you stay on the property? So if you stay on the property for less than one year, then 30 days notice applies. If you, if you have to live on the property for more than a year, 12 months, then 60 days leads will apply. I mean, 60 days notice will apply. So I basically, I change the language. I'd be more clear that the applicant shall comply to the California Department of Consumer Affair and Noticing Requirement, okay?  allow the tenants to stay up additional 30 days, okay, beyond the terms of tenancy, okay, in case they are  relocating. Alright, so this is just an additional month or additional month that they can have.  All right.",
3," I have a question. So to clarify, if they have an existing lease, this says that they can't be terminated without just cause. But once that lease is over, then they can terminate the lease. But these are the.",
2, Bye.,
3, the amount of time that they would be required to give.,
2," Correct, that's right.",
3, Notice. OK.,
2," All right. So condition 13, it has to do with the security. The regional grant already had a security condition, all right. But I think one question was asked whether they will be security patrol. So the property owner agreed that they can off, they can provide security, guard service. Okay, so on site, 24 hours a day. All right, so I add that. The last condition is number 15, that on site manager, I just say that available for 24 hours a day. Now that is already a part of the determination.  Now this is...  The on-site manager is required by the state law for any apartment that's more than 16 units. You have to have a 24 hour on-site manager. This is basically a regulatory compliance measure. I mean, I don't think that it's necessary, but I think having that language basically will, you know, will be more clear to you the property owner.",
8," Thank you.  You can just give me a moment to read through some of the other language.  Commissioner Tom Kim. So I think in terms of just addressing some of the concerns and questions from the last meeting, these proposed modifications to the conditions suffice. How do you guys feel?",
7," Commissioner Doga, I would agree based on the concerns that I have that were addressed earlier and the revised conditions I would be inclined to make a decision.",
8," Commissioner Chunkham, so the only really pending or an answered part of our last discussion would be  Just how do you...  divide up that property and so I'm inclined to bring the applicant back up because I believe staff said that would be a question for the applicant.",
3," Commissioner Mendes, we had also asked for feedback from the council office. Did we get any input from them on this?",
2, Now.  you  That's not... I have no comments in regards to this project.,
8," Okay, so at this time, can we bring it?  the applicant.  Stir new men back up.  So if you can just a dress, you'll have five minutes.",
1, I just need to answer you one question I think is you've asked a question I wanted I would like to answer that Stay tuned,
4, Thank you.,
1," My name is Jerry Newman. Thank you, President Chunkham, members of the commission. The question that was asked and that was asked of us, relative to last hearing, is how do you divvy up the apartments and tours? And I think",
4, you,
